Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Panchakarma Treatment from expert to remove toxins,"neem, turmeric, aloe vera gel, oatmeal bath for skin rashes",stop taking drugs,plant-based diet rich  in whole and unprocessed foods is recommended.
Malaria,Consult nearest hospital,avoid oily food and non veg food,consume herbs like neem and heart-leaved moonseed(guduchi),keep mosquitos out
Allergy,"gargles, a decoction of salt water, a powder of trikatu (long pepper + black pepper+ ginger)","Avoid cold breeze and polluted air, and avoid exposure to air conditioners.",urmeric milk: One teaspoon of turmeric powder mixed with hot milk for a drink.,"Ginger tea, Cinnamon tea, Lemon tea, and Garlic tea "
Hypothyroidism,"reduce stress, exercise, get proper sleep , healthy diet",consume adequate quantities of milk,"Consume a mixture of Indian gooseberry i.e. amla churna with honey, daily before breakfast. ",Drinking the juice acquired from jalakumbhi i.e. Pistia Stratiotes everyday in doses amounting from 11gm to 22gm increases the iodine content
Psoriasis,wash hands with warm soapy water,Panchakarma therapy from an expert,"apply aloe vera, neem, salt baths",chew raw garlic
GERD,avoid fatty spicy food,avoid lying down after eating,"maintain healthy weight, exercise",chew fennel seeds after meals for a better digestion process or simply drink fennel tea
Chronic cholestasis,cold baths,anti itch medicine,"milk thistle, guar gum, activated charcoal, SAM-e, vitamin K, vitamin D and calcium",eat healthy
hepatitis A,deepana and pachana therapies from an expert,wash hands through,avoid fatty spicy food,"herbs like katuki, kalmegha, kumari, punarnava, kakamachi, guduchi under guidance of doctor"
Osteoarthristis,Janu Basti or panchkarma therapy from an expert,"herbs like Boswellia serrata, turmeric, ashwagandha, Guggulu, Shankhapushpi, and Shallaki under guidance of a doctor",yoga and meditation,salt baths
(vertigo) Paroymsal  Positional Vertigo,consume fresh ginger or drink 1 teaspoon of ginger juice on empty stomach,drink a glass of water mixed with coriander powder  and gooseberry powder kept overnight,shankhapushpi,calamus or vacha tonic
Hypoglycemia,include fenugreek into you diet,tulsi leaves,drink sugary drinks,cinnamon powder
Acne,Panchakarma therapy form an expert,"erbs like neem, turmeric, manjistha, and guduchi from a doctor","Pitta-pacifying diet, hyadration",avoid too many products
Diabetes,Panchakarma therapy form an expert,"exercise, proper balanced diet","Turmeric, Ginseng, Fenugreek, Psyllium, Cinnamon, Aloe vera, Bitter melon, Bitter gourd ,Milk thistle into diet",avoid sugar
Impetigo,Applying aloe gel directly,Place the cut side of a slice of garlic,remove scabs with wet compressed cloth,apply neem oil
Hypertension,amla juice every morning on an empty stomach,consume two teaspoons of honey with warm water every morning,"reduce stress, meditation , proper sleep , yoga",Ashwagandha or Indian Ginseng is a natural herb that you can add to your evening tea in small quantities
Peptic ulcer diseae,virechana therapy from an expert,"consume probiotic food, eliminate milk",Coconut water,"Asanas like Mandukasana, Vajrasana, Ushtraasana , Naukasana, Pawanamuktaasana, Bhujangaasana, Padahastasana "
Dimorphic hemmorhoids(piles),avoid fatty spicy food,bhaishajya chikitsa from an expert,warm bath with epsom salt,application of kshara paste and Kshara Sutra ligation under guidance of doctor
Common Cold,drink vitamin c rich drinks,"take vapour, Drink a glass of hot water",Gargle with warm turmeric powder 2-3 times a day,"Juice of ginger (Adrak), holy basil (Tulsi) mixed with honey, to be taken two-three times a day"
Chicken pox,"use neem in bathing , consume neem leaves",Vamana therapy from an expert,paripathadi kadha from and doctor,"chandrakala , sutashekara rasa from an doctor"
Cervical spondylosis,"therapies like greeva Basti, abhyangam, kizhi from a doctor","exercise, proper balanced diet",Mridu Shodhana ( mild purgation) - a mixture is made with milk or the fruit pulp of Cassia fistula and castor oil under doctor's guidance,"Take Triphala powder, mix it in a glass of milk, and have it"
Hyperthyroidism,Panchakarma Therapy form an expert,consume shankhapushpi or shatavari by consulting a doctor,use lemon balm,"bilwa, tulsi, rasayana herbs from a doctor"
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,"males: Punarnava, gokshura, darulhaldi, kasni, varun medicine from a doctor"
Varicose veins,lie down flat and raise the leg high," Formulations infused with potent herbs such as Guggulu, Manjistha, and Triphala from a doctor","application of herbal pastes and poultices are prepared using ingredients like turmeric, neem, and aloe vera","diet rich in fibre, whole grains, fresh fruits, and vegetables"
AIDS,"Chyawanprash, Raktavardhak and Sookshma Triphala medicines under guidance of a doctor",rasayana and vajikara from doctor,"Shatavari Kalpa,Guduchi and Kalmegh  medincines from an expert",Ras dhatu cleansing from an expert
Paralysis (brain hemorrhage),"massage, exercise, healthy food ","Panchakarma , Virechana therapies from an expert","Herbs like Ashwagandha, Brahmi, Eranda, Rasona, Rasna by consulting a doctor","Medicines like Mahavatavidwamsana, Balarista, Dashmoola Arista, Sarasawathaarista, Bhihat vata Chintamani, Ekangavira rasa, Sacharadi kasahya, Gandarwahastadi qwatha by consulting a doctor"
Typhoid,consume bananas,"giloy, tulsi, curcuma herbs by consulting a doctor",a teaspoon of apple cider vinegar in water and drink it before meals,boil cloves in water and have 2 cups of it twice a day
Hepatitis B,consume katuki herb every alternate days,echinacea to be consumed  as an extract or mixed with fruit juice on consultation with a doctor,Capparis spinosa herb  can be consumed 2– 3 times a week in the form of an extract,bhumi amla medicine from a doctor
Fungal infection,"bath twice, use detol or neem in bathing water",Panchakarma therapy from an expert,Consume Triphala internally,Liquorice root possesses potent antifungal and anti-inflammatory properties. It can be consumed as tea or applied topically
Hepatitis C,"medicines such as turmeric, bhringaraj, and bhumyalaki",Panchakarma therapy from an expert,kalmegha herb by consulting an expert,Punarnava herb from a doctor
Migraine,Shirolepa and shiro dhara treatment from an expert,"reduce stress, yoga, meditation, healthy food","herbs like Bala, kumari, Mallika, Amalaki, sariva, yastimadhu, hareetaki from a doctor","medicines  like Godnati bhasma, Chandrakala rasa, Kamadugha rasa (mouktika yukta), Bhoonimbadi khada, Shirashooladi vajra rasa, Pathyadi khada from doctor"
Bronchial Asthma,"swedana, Vamana, virechana treatments from an expert",dhumapana (medicated smoking)  from a ayurvedic practioner,"herbs like bala, guduchi, tulsi , dashmool by consulting a doctor","talisadin churna,  sitophaladhi churna  tashtimadhu churna haridrakhanda "
Alcoholic hepatitis,stop alcohol consumption," nidanaparivarjana, Vyadhipratyanikaaushadhis, hepatoprotectives on consultation from a doctor",Yogasanas and Pranayama,daily walking
Jaundice,drink plenty of water,"consume milk thistle, eat fruits and high fiberous food",triphala choorna,juice of Bhoomyaamalaki  herb
Hepatitis E,Raktamokshan  therapy from an expert,"Whole grains such as oats, brown rice, barley, Plenty of fruits and vegetables,  Low-fat or non-fat dairy products","Kapalbhati pranayama, Ardha matsyendrasana, Padangusthasana pranayam every morning","herbal formulations like Rohitakarishta, Abhayarishta, Duralabharishta, Kutajarishta on consulting a doctor"
Dengue,drink papaya leaf juice,consume coconut water frequently,Boil neem leaves in water for some time and then filter it and drink it.,consume orange juice for Vitamin C
Hepatitis D,Shodhana chikitsa therapy from an expert,Panchakarma therapy from an expert,"Kapalbhati pranayama, Ardha matsyendrasana, Padangusthasana pranayam every morning","herbal formulations like Rohitakarishta, Abhayarishta, Duralabharishta, Kutajarishta on consulting a doctor"
Heart attack,Ayurvedic practises such as Hrid Basti,yoga asanas and breathing techniques,Hrudya vati,Sukha virechana Churna 
Pneumonia,Vamana therapy on consultation with doctor,Panchakarma therapy from an expert,"yoga therapies or simple exercises for lungs and heart health which includes Naadisuddhi Pranayama, Bbhujangaasana, Pavanamuktasana","Freshly cooked and warm food processed with cumin seeds, ginger, black pepper, ajwain etc"
Arthritis,"Virechan, Abhyangam, Basti, and Upanaham therapies from an expert",Panchakarma therapy from an expert,try acupuncture,Guggal (Commiphora wightii)  herb can be taken twice a day with warm water after meals on consultation from a doctor
Gastroenteritis,"herbs like giloy mulethi , bilva, kutaj ,vidanga on consultation with a doctor ",try taking small sips of water,Panchakarma therapy from an expert,add a teaspoon of unfiltered apple cider vinegar in warm water and drink 30 mins before your meal
Tuberculosis,exercise regularly,"ashwagandha, turmeric, neem , shatavari,  tulsi herbs","consuming more garlic, ginger,  cumin, cinnamon,  cardamon",fruits and vegetables in diet
